MAp,eps,omegah2,xf
1.284141209483e+00,1.590101651268e-03,1.210000000000e-01,2.110000000000e+01
1.265166611991e+00,1.566440309841e-03,1.210000000000e-01,2.110000000000e+01
1.246472385027e+00,1.543131058533e-03,1.210000000000e-01,2.110000000000e+01
1.228054385810e+00,1.520168658102e-03,1.210000000000e-01,2.110000000000e+01
1.209908532771e+00,1.497547947271e-03,1.210000000000e-01,2.100000000000e+01
1.192030804650e+00,1.475263841563e-03,1.210000000000e-01,2.110000000000e+01
1.174417239608e+00,1.453311332161e-03,1.220000000000e-01,2.110000000000e+01
1.174417239608e+00,1.463868391923e-03,1.200000000000e-01,2.110000000000e+01
1.157063934345e+00,1.452560964688e-03,1.190000000000e-01,2.110000000000e+01
1.157063934345e+00,1.443014160673e-03,1.200000000000e-01,2.110000000000e+01
1.139967043236e+00,1.422457018263e-03,1.200000000000e-01,2.100000000000e+01
1.123122777481e+00,1.402192732371e-03,1.200000000000e-01,2.100000000000e+01
1.106527404262e+00,1.382217130972e-03,1.200000000000e-01,2.100000000000e+01
1.090177245919e+00,1.362526101474e-03,1.200000000000e-01,2.100000000000e+01
1.074068679132e+00,1.343115589873e-03,1.200000000000e-01,2.100000000000e+01
1.058198134121e+00,1.323981599919e-03,1.200000000000e-01,2.100000000000e+01
1.042562093853e+00,1.305120192290e-03,1.200000000000e-01,2.100000000000e+01
1.027157093261e+00,1.286527483786e-03,1.200000000000e-01,2.090000000000e+01
1.011979718482e+00,1.268199646527e-03,1.200000000000e-01,2.090000000000e+01
9.970266060934e-01,1.250132907164e-03,1.200000000000e-01,2.090000000000e+01
9.822944423719e-01,1.232323546102e-03,1.200000000000e-01,2.090000000000e+01
9.677799625584e-01,1.214767896737e-03,1.200000000000e-01,2.090000000000e+01
9.534799501338e-01,1.197462344699e-03,1.200000000000e-01,2.090000000000e+01
9.393912361068e-01,1.180403327108e-03,1.200000000000e-01,2.090000000000e+01
9.255106983115e-01,1.163587331840e-03,1.200000000000e-01,2.090000000000e+01
9.118352607152e-01,1.147010896806e-03,1.200000000000e-01,2.090000000000e+01
8.983618927371e-01,1.130670609236e-03,1.200000000000e-01,2.080000000000e+01
8.850876085765e-01,1.114563104981e-03,1.200000000000e-01,2.090000000000e+01
8.720094665513e-01,1.098685067815e-03,1.200000000000e-01,2.080000000000e+01
8.591245684459e-01,1.083033228755e-03,1.200000000000e-01,2.080000000000e+01
8.464300588690e-01,1.067604365390e-03,1.200000000000e-01,2.080000000000e+01
8.339231246209e-01,1.052395301213e-03,1.200000000000e-01,2.080000000000e+01
8.216009940699e-01,1.037402904972e-03,1.200000000000e-01,2.080000000000e+01
8.094609365385e-01,1.022624090019e-03,1.200000000000e-01,2.080000000000e+01
7.975002616976e-01,1.008055813682e-03,1.200000000000e-01,2.080000000000e+01
7.857163189708e-01,9.936950766326e-04,1.200000000000e-01,2.070000000000e+01
7.741064969471e-01,9.795389222720e-04,1.200000000000e-01,2.070000000000e+01
7.626682228015e-01,9.655844361202e-04,1.200000000000e-01,2.070000000000e+01
7.513989617259e-01,9.518287452173e-04,1.200000000000e-01,2.070000000000e+01
7.402962163662e-01,9.382690175311e-04,1.200000000000e-01,2.070000000000e+01
7.293575262698e-01,9.249024613749e-04,1.200000000000e-01,2.070000000000e+01
7.185804673400e-01,9.117263248320e-04,1.200000000000e-01,2.070000000000e+01
7.079626512985e-01,8.987378951895e-04,1.200000000000e-01,2.070000000000e+01
6.975017251569e-01,8.859344983797e-04,1.200000000000e-01,2.060000000000e+01
6.871953706943e-01,8.733134984297e-04,1.200000000000e-01,2.060000000000e+01
6.770413039444e-01,8.608722969186e-04,1.200000000000e-01,2.060000000000e+01
