MAp,eps,omegah2,xf
5.982150706187e-01,3.396228419283e-04,1.200000000000e-01,2.050000000000e+01
5.122587563120e-01,2.899536835412e-04,1.200000000000e-01,2.030000000000e+01
4.386533310619e-01,2.475485397913e-04,1.210000000000e-01,2.020000000000e+01
3.756241205850e-01,2.113450631300e-04,1.200000000000e-01,2.000000000000e+01
3.216514499587e-01,1.804362722038e-04,1.210000000000e-01,1.980000000000e+01
2.754340032781e-01,1.540478298600e-04,1.210000000000e-01,1.970000000000e+01
2.358574480903e-01,1.315186441991e-04,1.300000000000e-01,1.950000000000e+01
2.358574480903e-01,1.374990205047e-04,1.200000000000e-01,1.960000000000e+01
2.019675681201e-01,1.227279907606e-04,1.900000000000e-01,1.890000000000e+01
2.019675681201e-01,1.584226066271e-04,1.200000000000e-01,1.940000000000e+01
1.729472565002e-01,1.825301896582e-04,9.640000000000e-02,1.950000000000e+01
1.729472565002e-01,1.616214622377e-04,1.200000000000e-01,1.930000000000e+01
1.480968147973e-01,1.648849088649e-04,1.180000000000e-01,1.910000000000e+01
1.480968147973e-01,1.633524964134e-04,1.200000000000e-01,1.910000000000e+01
1.268170828317e-01,1.651020706968e-04,8.960000000000e-02,1.920000000000e+01
1.268170828317e-01,1.403677662692e-04,1.200000000000e-01,1.890000000000e+01
1.085949925389e-01,1.206171331325e-04,1.210000000000e-01,1.880000000000e+01
9.299119756734e-02,1.036455390848e-04,1.230000000000e-01,1.870000000000e+01
9.299119756734e-02,1.050771579384e-04,1.200000000000e-01,1.870000000000e+01
7.962948035485e-02,9.153930982832e-05,1.200000000000e-01,1.860000000000e+01
6.818768128018e-02,7.974564032988e-05,1.220000000000e-01,1.850000000000e+01
6.818768128018e-02,8.048131285179e-05,1.200000000000e-01,1.850000000000e+01
5.838993118688e-02,7.075912775065e-05,1.240000000000e-01,1.840000000000e+01
5.838993118688e-02,7.205992831909e-05,1.200000000000e-01,1.840000000000e+01
5.000000000000e-02,6.451973862447e-05,1.240000000000e-01,1.840000000000e+01
5.000000000000e-02,6.570583737026e-05,1.200000000000e-01,1.840000000000e+01
