MAp,eps,omegah2,xf,method,ncalls
1.0179505533e-01,2.5546493199e-04,1.2000000000e-01,1.8700000000e+01,refine,1
1.0296529157e-01,2.5806237420e-04,1.2000000000e-01,1.8800000000e+01,refine,1
1.0414898084e-01,2.6068622593e-04,1.2000000000e-01,1.8800000000e+01,refine,1
1.0534627781e-01,2.6333675569e-04,1.2000000000e-01,1.8800000000e+01,refine,1
1.0655733891e-01,2.6601423475e-04,1.2000000000e-01,1.8800000000e+01,refine,1
1.0778232237e-01,2.6871893710e-04,1.2000000000e-01,1.8800000000e+01,refine,1
1.0902138824e-01,2.7145113954e-04,1.2000000000e-01,1.8800000000e+01,refine,2
1.1027469842e-01,2.7421112167e-04,1.2000000000e-01,1.8800000000e+01,refine,2
1.1154241665e-01,2.7955454922e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.1282470858e-01,2.8235334038e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.1412174174e-01,2.8518015196e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.1543368560e-01,2.8803526447e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.1676071156e-01,2.9091896125e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.1810299302e-01,2.9383152848e-04,1.2000000000e-01,1.8900000000e+01,refine,1
1.1946070535e-01,2.9677325520e-04,1.2000000000e-01,1.8900000000e+01,refine,1
1.2083402595e-01,2.9974443334e-04,1.2000000000e-01,1.8900000000e+01,refine,2
1.2222313424e-01,3.0274535776e-04,1.2000000000e-01,1.8900000000e+01,refine,2
1.2362821173e-01,3.0859718568e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.2504944199e-01,3.1163863763e-04,1.1900000000e-01,1.9000000000e+01,refine,1
1.2648701071e-01,3.1471006532e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.2794110574e-01,3.1781176419e-04,1.1900000000e-01,1.9000000000e+01,refine,1
1.2941191704e-01,3.2094403258e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.3089963679e-01,3.2410717177e-04,1.2000000000e-01,1.9000000000e+01,refine,2
1.3240445937e-01,3.2730148602e-04,1.2000000000e-01,1.9000000000e+01,refine,2
1.3392658140e-01,3.3357647548e-04,1.1900000000e-01,1.9000000000e+01,refine,1
1.3546620175e-01,3.3681212826e-04,1.1900000000e-01,1.9000000000e+01,refine,1
1.3702352157e-01,3.4007916650e-04,1.1900000000e-01,1.9000000000e+01,refine,1
1.3859874435e-01,3.4337789463e-04,1.1900000000e-01,1.9000000000e+01,refine,1
1.4019207590e-01,3.4670862003e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.4180372438e-01,3.5007165308e-04,1.2000000000e-01,1.9100000000e+01,refine,2
1.4343390039e-01,3.5346730716e-04,1.2100000000e-01,1.9100000000e+01,refine,2
1.4508281690e-01,3.6018834834e-04,1.1900000000e-01,1.9100000000e+01,refine,1
1.4675068936e-01,3.6362600592e-04,1.1900000000e-01,1.9100000000e+01,refine,1
1.4843773569e-01,3.6709647270e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5014417630e-01,3.7060006181e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5187023416e-01,3.7413708937e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5361613479e-01,3.7770787452e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5538210630e-01,3.8131273943e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5716837942e-01,3.8495200938e-04,1.2000000000e-01,1.9200000000e+01,refine,2
1.5897518754e-01,3.8862601272e-04,1.1900000000e-01,1.9200000000e+01,refine,1
1.6080276673e-01,3.8868878508e-04,1.2000000000e-01,1.9200000000e+01,refine,1
