MAp,eps,omegah2,xf,method,ncalls
9.4891459168e-02,2.3847605785e-04,1.2000000000e-01,1.8700000000e+01,refine,1
9.6314613420e-02,2.4185766149e-04,1.2000000000e-01,1.8700000000e+01,refine,1
9.7759111722e-02,2.4528721646e-04,1.2000000000e-01,1.8700000000e+01,refine,1
9.9225274185e-02,2.4876540270e-04,1.2000000000e-01,1.8700000000e+01,refine,1
1.0071342572e-01,2.5229290982e-04,1.2000000000e-01,1.8800000000e+01,refine,1
1.0222389612e-01,2.5587043718e-04,1.2000000000e-01,1.8700000000e+01,refine,1
1.0375702011e-01,2.5949869408e-04,1.2000000000e-01,1.8800000000e+01,refine,2
1.0531313744e-01,2.6317839986e-04,1.2000000000e-01,1.8800000000e+01,refine,2
1.0689259296e-01,2.6515604433e-04,1.2100000000e-01,1.8800000000e+01,refine,1
1.0849573670e-01,2.6908915471e-04,1.2100000000e-01,1.8800000000e+01,refine,1
1.1012292391e-01,2.7308060568e-04,1.2100000000e-01,1.8800000000e+01,refine,1
1.1177451520e-01,2.7713126260e-04,1.2100000000e-01,1.8800000000e+01,refine,1
1.1345087657e-01,2.8124200369e-04,1.2100000000e-01,1.8900000000e+01,refine,1
1.1515237952e-01,2.8541372019e-04,1.2100000000e-01,1.8900000000e+01,refine,1
1.1687940111e-01,2.8964731656e-04,1.2100000000e-01,1.8900000000e+01,refine,1
1.1863232406e-01,2.9394371067e-04,1.2000000000e-01,1.8900000000e+01,refine,1
1.2041153683e-01,2.9830383403e-04,1.2000000000e-01,1.8900000000e+01,refine,1
1.2221743372e-01,3.0272863192e-04,1.2000000000e-01,1.8900000000e+01,refine,1
1.2405041492e-01,3.0721906369e-04,1.2000000000e-01,1.8900000000e+01,refine,1
1.2591088663e-01,3.1177610290e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.2779926115e-01,3.1640073754e-04,1.2000000000e-01,1.8900000000e+01,refine,1
1.2971595695e-01,3.2109397027e-04,1.2000000000e-01,1.9000000000e+01,refine,2
1.3166139880e-01,3.2585681862e-04,1.2000000000e-01,1.9000000000e+01,refine,2
1.3363601782e-01,3.2851688794e-04,1.2100000000e-01,1.9000000000e+01,refine,1
1.3564025159e-01,3.3360454637e-04,1.2100000000e-01,1.9000000000e+01,refine,1
1.3767454427e-01,3.3877099609e-04,1.2100000000e-01,1.9000000000e+01,refine,1
1.3973934667e-01,3.4401745731e-04,1.2100000000e-01,1.9000000000e+01,refine,1
1.4183511637e-01,3.4934516916e-04,1.2100000000e-01,1.9000000000e+01,refine,1
1.4396231782e-01,3.5475538995e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.4612142240e-01,3.6024939746e-04,1.2000000000e-01,1.9100000000e+01,refine,2
1.4831290861e-01,3.6582848929e-04,1.2000000000e-01,1.9100000000e+01,refine,2
1.5053726208e-01,3.6905237802e-04,1.2100000000e-01,1.9100000000e+01,refine,1
1.5279497575e-01,3.7500915149e-04,1.2100000000e-01,1.9100000000e+01,refine,2
1.5508654995e-01,3.8106207163e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5741249250e-01,3.8466777564e-04,1.2000000000e-01,1.9200000000e+01,refine,2
1.5977331886e-01,3.8830759773e-04,1.2000000000e-01,1.9200000000e+01,refine,1
1.6216955220e-01,3.8758423920e-04,1.2100000000e-01,1.9200000000e+01,refine,2
1.6460172354e-01,3.8686222819e-04,1.2000000000e-01,1.9200000000e+01,refine,1
1.6707037188e-01,3.8000846710e-04,1.2100000000e-01,1.9300000000e+01,refine,2
1.6957604428e-01,3.7327612919e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.7211929601e-01,3.6425320890e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.7470069069e-01,3.5311224568e-04,1.2100000000e-01,1.9300000000e+01,refine,2
1.7732080038e-01,3.4636591314e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.7998020569e-01,3.4221645274e-04,1.2100000000e-01,1.9300000000e+01,refine,1
1.8267949599e-01,3.4212089484e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.8541926945e-01,3.4202536361e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.8820013323e-01,3.4192985907e-04,1.2100000000e-01,1.9300000000e+01,refine,1
1.9102270358e-01,3.4431751464e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.9388760602e-01,3.4672184293e-04,1.2000000000e-01,1.9400000000e+01,refine,1
1.9679547543e-01,3.4914296036e-04,1.2000000000e-01,1.9400000000e+01,refine,1
1.9974695621e-01,3.5158098417e-04,1.2000000000e-01,1.9400000000e+01,refine,1
2.0274270242e-01,3.5403603240e-04,1.2000000000e-01,1.9400000000e+01,refine,1
2.0578337797e-01,3.5650822395e-04,1.2000000000e-01,1.9400000000e+01,refine,1
2.0886965667e-01,3.5899767852e-04,1.2100000000e-01,1.9400000000e+01,refine,1
2.1200222247e-01,3.6150451665e-04,1.2100000000e-01,1.9500000000e+01,refine,2
2.1518176957e-01,3.6402885973e-04,1.2000000000e-01,1.9500000000e+01,refine,2
2.1840900259e-01,3.6416158181e-04,1.2000000000e-01,1.9500000000e+01,refine,2
2.2168463671e-01,3.6190006601e-04,1.2100000000e-01,1.9600000000e+01,refine,2
